priority,id,year,brand,title,category,description,price,style,saves,siteURL,imageURL
11,2023Rhy11,2023,Rhythm,Harmony Trunk,shorts,"Function meets fashion with our new variation of a signature boardshort pattern. Our Harmony Trunk is constructed with a 17.5-inch outseam, a slightly longer fit than our Heritage Trunk silhouette. Designed to be worn in the surf, or around town.",70,surf,0,https://rhythmlivin.com/collections/oasis/products/harmony-trunk-mustard-nov23,https://rhythmlivin.com/cdn/shop/products/IMG_10115_1200x1800.jpg?v=1698803666
12,2023Rhy12,2023,Rhythm,Lost Orchid Trunk,shorts,"Function meets fashion with our new variation of a signature boardshort pattern. Our Lost Orchid Trunk is constructed with a 17.5-inch outseam, a slightly longer fit than our Heritage Trunk silhouette. Designed to be worn in the surf, or around town.",70,surf,0,https://rhythmlivin.com/collections/oasis/products/lost-orchid-trunk-melon-nov23,https://rhythmlivin.com/cdn/shop/products/C1123M-TR04-LOST-ORCHID-TRUNK-MELON-5_045e25ed-c6b7-472e-a906-ce31e621e7e7_1200x1800.jpg?v=1698708126
13,2023Rhy13,2023,Rhythm,Heritage Trunk,shorts,"Designed as an ode to surfing's history, and the essential silhouettes that defined the early eras of surf culture, the Heritage Trunk is our most considered boardshort. Made with a light, quick-drying nylon the 16.5-inch outseam is fit with signature Rhythm taping for added style.",60,surf,0,https://rhythmlivin.com/collections/oasis/products/heritage-trunk-vintage-blue-nov23,https://rhythmlivin.com/cdn/shop/products/000018_d8128d90-956c-4165-a3e6-72aebff4ea7b_1204x1800.jpg?v=1698708096
14,2023Rhy14,2023,Rhythm,Band SS T-Shirt,tops,"Our newest addition is the latest surplus, band style fit inspired by original sport and military t-shirts.",40,surf,0,https://rhythmlivin.com/collections/mens-t-shirts/products/band-ss-t-shirt-vintage-black-rrg22,https://rhythmlivin.com/cdn/shop/files/RRG0622M-CT01-BAND-SS-TEE-BLK_1200x1800.jpg?v=1699491442
15,2023Rhy15,2023,Rhythm,Underground Vintage Ss T-Shirt,tops,"A homage to the fascinating world beneath our feet and the unseen links that connect us all, the Underground Vintage Tee is absolutely intended for the fun guy. Spun from 200 gram cotton and enzyme-washed for a soft, worn-in hand feel, this tee comes in a slightly boxier fit.",45,surf,0,https://rhythmlivin.com/collections/mens-t-shirts/products/underground-vintage-ss-t-shirt-sage-sept23,https://rhythmlivin.com/cdn/shop/products/C0823M-PT01-UNDERGROUND-VINTAGE-SS-SHIRT-GREEN-1_1200x1800.jpg?v=1694063805
16,2023Rhy16,2023,Rhythm,Linen Jam Pant,bottoms,"Built from a breathable linen-cotton blend, the linen jam pant features our comfortable wayfarer fit with a 29-inch inseam and easy-wearing elastic waistband for all-day comfort.",70,surf,0,https://rhythmlivin.com/collections/mens-new-arrivals/products/linen-jam-pant-sand-rrg1023,https://rhythmlivin.com/cdn/shop/products/RRG1023M-PA01-LINEN-JAM-PANT-SAN_1200x1800.jpg?v=1699427114
17,2023Rhy17,2023,Rhythm,Reverse Fleece Hood,tops,"Cut in a soft touch reverse cotton blend fabric, the reverse fleece hood has a vintage fit and features a jersey-lined hood, hand pockets and rib hem and sleeve cuff.",70,surf,0,https://rhythmlivin.com/collections/mens-new-arrivals/products/reverse-fleece-hood-vintage-black-oct23,https://rhythmlivin.com/cdn/shop/products/1023M-FL01-REVERSE-FLEECE-HOOD-BLACK-1_1200x1800.jpg?v=1695705619
18,2023Rhy18,2023,Rhythm,Del La Mer Cap,accessories,"The De La Mer is a relaxed 5 panel cap with a vintage style twill, cord peak and screen-printed holiday inspired logo, made for every day in the sun.",30,surf,0,https://rhythmlivin.com/collections/mens-new-arrivals/products/del-la-mer-cap-green-cap29,https://rhythmlivin.com/cdn/shop/files/dellamer_1_1200x1800.jpg?v=1699504613
19,2023Rhy19,2023,Rhythm,Essential Check Cap,accessories,"Your everyday staple, the essential check cap is a 6 panel cap cut and sewed in a wool blend with contrast peak and features a strap back closure with an adjustable slider.",32,surf,0,https://rhythmlivin.com/collections/mens-headwear/products/essential-check-cap-dawn-oct23,https://rhythmlivin.com/cdn/shop/products/1023M-HW02-ESSENTIAL-CHECK-CAP-DAWN-1_1200x1800.jpg?v=1695705674
20,2023AFE20,2023,AFENDS,Graphic Boxy T-Shirt,tops,We call it Natty Tech: harmonizing with the essence of life on our precious planet. Crafted from a sustainable blend of hemp and organic cotton.,50,city,0,https://us.afends.com/collections/mens-new-arrivals/products/afends-mens-technology-graphic-boxy-t-shirt-stone-black,https://us.afends.com/cdn/shop/products/M234013-STK-2_900x.png?v=1699575099
21,2023AFE21,2023,AFENDS,Six Panel Cap,accessories,"At Afends, the answer is always Question Everything, so we ask you: what's the question?",40,surf,0,https://us.afends.com/collections/mens-new-arrivals/products/afends-mens-questions-six-panel-cap-eucalyptus,https://us.afends.com/cdn/shop/products/OLIVEHAT_900x.jpg?v=1699575867
22,2023AFE22,2023,AFENDS,"Recycled Swim Short 18""",shorts,"Boardshorts for everyday wear. These swim shorts offer a walkshort look, with all the boardshort essentials; an elastic waistband for comfort, multiple pockets and rash free recycled fabric. An essential to have on hand for years, these offer the perfect lightweight, soft-feel design to keep you cool and comfortable. Pair back with a hemp tee and bounce from the beach to pub easy.",60,surf,0,https://us.afends.com/collections/mens-new-arrivals/products/afends-mens-baywatch-recycled-swim-short-18-navy,https://us.afends.com/cdn/shop/products/M230308-NVY-1_900x.png?v=1699574250
23,2023AFE23,2023,AFENDS,"Recycled Swim Short 18""",shorts,"Boardshorts for everyday wear. These swim shorts offer a walkshort look, with all the boardshort essentials; an elastic waistband for comfort, multiple pockets and rash free recycled fabric. An essential to have on hand for years, these offer the perfect lightweight, soft-feel design to keep you cool and comfortable. Pair back with a hemp tee and bounce from the beach to pub easy.",60,surf,0,https://us.afends.com/collections/mens-new-arrivals/products/afends-mens-baywatch-recycled-swim-short-18-olive,https://us.afends.com/cdn/shop/products/M230308-OLV-1_900x.png?v=1699573894
24,2023AFE24,2023,AFENDS,Hemp Cuban Short Sleeve Shirt,tops,"Day in, day out in our short sleeve shirt. This shirt delivers a relaxed fit, button-up design with corozo buttons made from coconut shells, a cuban collar in a range of easy-to-wear colours to dress up or down, no matter the occasion. In our sustainable blend of hemp and tencel, this shirt is lightweight, breathable, and looks great when layered.",80,city,0,https://us.afends.com/products/afends-mens-daily-hemp-cuban-short-sleeve-shirt-white-1,https://us.afends.com/cdn/shop/products/AfendsMensDaily-HempCubanShortSleeveShirt-White-521_900x.jpg?v=1696379960
25,2023AFE25,2023,AFENDS,Organic Denim Relaxed Fit Jean,bottoms,"These denim jeans are straight out of the 90s. Offering a mid-rise, relaxed straight leg fit, the Ninety Twos are an essential wardrobe staple. Cut from sustainable organic cotton denim in our vintage washed black shade, these midweight jeans will continue to define your everyday collection.",140,city,0,https://us.afends.com/collections/mens-new-arrivals/products/afends-mens-ninety-twos-organic-denim-straight-leg-jeans-washed-black,https://us.afends.com/cdn/shop/products/AfendsMensNinetyTwos-OrganicDenimRelaxedFitJean-WashedBlack-30_837d6de3-2d12-42e7-be26-04a04831d835_900x.jpg?v=1690266832
26,2023AFE26,2023,AFENDS X LE SPECS,Persona,accessories,"PERSONA sunglasses offer a unisex noughties silhouette, modern chamfered edges, and comfortable wide fit.",105,city,0,https://us.afends.com/collections/unisex-afends-x-le-specs/products/afends-afends-x-les-specs-persona-black,https://us.afends.com/cdn/shop/products/LAD2331406_1PERSONA_13075de1-b153-4fe9-beae-5730b50b17d5_900x.jpg?v=1699572146
27,2023JAC27,2023,JACQUEMUS,Le de Nîmes Criollo,bottoms,LE CHOUCHOU,490,city,0,https://www.jacquemus.com/en_fr/le-de-nimes-criollo/236DE019-1015-31A.html,https://www.jacquemus.com/dw/image/v2/BJFJ_PRD/on/demandware.static/-/Sites-master-jacquemus/default/dw5f3424db/23H236DE019-1015-31A_3.jpg?q=100
28,2023KIT28,2023,KITH,Kith Milton Polar Fleece Balaclava,accessories,"Polyester fabric

Helmet compatible fit

Kith classic logo patch at front

 

Style: khm050503-423

Color: Cyclone

Material: 100% Polyester",85,city,0,https://kith.com/products/khm050503-423,https://kith.com/cdn/shop/files/KHM050503-423-FRONT_1296x.jpg?v=1701311673
29,2023KIT29,2023,KITH,Kith Nolen Coat,tops,"The Nolen Coat is crafted of premium Italian herringbone wool fabric, with a cable-knit lining at the hood, and a lightly filled, quilted satin lining at the interior. It has Kith-branded buttons at the front placket and a custom Kith satin label at the cuff.",595,city,0,https://kith.com/collections/new-arrivals/products/khm010469-206,https://kith.com/cdn/shop/files/KHM010469-206-FRONT_1296x.jpg?v=1701311858
30,2023KIT30,2023,KITH,Kith Woven Oiled Suede Tote,accessories,"The Woven Tote in Oiled Suede is crafted of premium cow suede leather, featuring an intricate hand-woven composition. It is fully lined with leather, and has an interior zippered pocket, along with an adjustable leather strap and Kith script logo foil at the upper right.",545,city,0,https://kith.com/collections/new-arrivals/products/khm040084-244,https://kith.com/cdn/shop/files/KHM040084-244-BACK_1296x.jpg?v=1701312976
31,2023KIT31,2023,KITH x The North Face,Mens Gore-Tex Mountain Jacket,tops,"Polyester fabric

Zipper and snap button closure with storm flap on front

Tonal hood with drawstring

Down-filled

Zipper pockets on front

Zipper and velcro vent on sleeve

Zipper pockets on inside 

Embroidered The North Face logo on chest and back shoulder

Embroidered GORE-TEX branding on right chest

Non-PFC DWR finish for water-repellency

Wind-resistant

Cuffs with adjustable hook-and-loop tabs 

Internal drawcord on hem

Relaxed fit

 

Style: nf0a831m-j5c

Color: TNF Black Denim

Material: 100% Polyester",450,surf,0,https://kith.com/collections/new-arrivals/products/nf0a831m-j5c,https://kith.com/cdn/shop/files/NF0A831M-J5C-FRONT_1296x.jpg?v=1701215563
32,2023KIT32,2023,KITH,Joiner Trouser Western,bottoms,"Rigid denim fabric

Button closure with zip fly

5-pocket style

Half patch pockets and hammer loop on side

Our Legacy embossed patch on back waistband

Wide leg

Oversized fit

 

Style: olm4235jwb

Color: Blue Denim

Material: 100% Cotton",390,surf,0,https://kith.com/collections/new-arrivals/products/olm4235jwb,https://kith.com/cdn/shop/files/OLM4235JWB-FRONT_1296x.jpg?v=1700605785
33,2023KIT33,2023,KITH,Homespun Tweed Zip Blouson,tops,"Wool blend fabric

Zipper closure on front

Stand collar

Dropped shoulders

Welt pockets on front and inside

Elasticated cuffs and hem

Cupro satin lining

Oversized fit

 

Style: a23ab01ht-char

Color: Charcoal Grey Tweed

Material: 68% Wool / 14% Silk / 12% Cotton / 3% Alpaca / 3% Nylon",2180,city,0,https://kith.com/collections/auralee/products/a23ab01ht-char,https://kith.com/cdn/shop/files/A23AB01HT-CHAR-FRONT_1296x.jpg?v=1697570630
34,2023KIT34,2023,KITH,French Merino Rib Knit Cardigan,tops,"Wool knit fabric

Button closure on front

Ribbed placket, cuffs, and hem

Relaxed fit

 

Style: a23ac01fr-khk

Color: Light Khaki

Material: 100% Wool",680,city,0,https://kith.com/collections/auralee/products/a23ac01fr-khk,https://kith.com/cdn/shop/files/A23AC01FR-KHK-FRONT_1296x.jpg?v=1697570359
35,2023KIT35,2023,KITH,Kith Langdon Turtleneck,tops,"The Langdon Turtleneck is crafted of fuzzy mohair, with striped ribbing at the neck, sleeve cuffs, and hem. It has stripes across the body and Kith embroidery at the chest.",325,city,0,https://kith.com/collections/kith/products/khm031660-127,https://kith.com/cdn/shop/files/KHM031660-127-FRONT_1296x.jpg?v=1701311366
36,2023KIT36,2023,KITH,Kith Hayes Chenille Hoodie,tops,"The Hayes Chenille Hoodie is crafted of soft chenille yarn, featuring all-over jacquard striping. It has ribbing at the hem and sleeve cuffs and is complete with Kith-branded satin-stitched embroidery at the chest.",245,city,0,https://kith.com/collections/kith/products/khm031966-302,https://kith.com/cdn/shop/files/KHM031966-302-FRONT_1296x.jpg?v=1701310920
37,2023KIT37,2023,KITH,Kith for the New York Knicks Champions Vintage Tee,tops,"The Kith for the New York Knicks Champions Vintage Tee is crafted of vintage-washed 230GSM cotton, with a ribbed neckline and custom collaborative artwork printed on the front. It is complete with a custom Kith for the New York Knicks logo on the left sleeve.",70,city,0,https://kith.com/collections/kith/products/khm031635-104,https://kith.com/cdn/shop/files/KHM031635-104-FRONT_1296x.jpg?v=1699400712
38,2023KIT38,2023,KITH,Kith & New Era for the New York Knicks Wool 59FIFTY Fitted,accessories,"Polyester fabric

59FIFTY low profile fitted 

Cotton sweatband

Kith for the New York Knicks embroidery at front

Kith classic logo embroidery on back

 

Style: khm050535-413

Color: Nocturnal

Material: 100% Polyester ",75,city,0,https://kith.com/collections/kith/products/khm050535-413,https://kith.com/cdn/shop/files/KHM050535-413-FRONT_1296x.jpg?v=1699400320
39,2023KIT39,2023,KITH,Kith for Bergdorf Goodman Logo Jacquard Double Face Scarf,accessories,"Wool fabric

Kith for Bergdorf Goodman jacquard print

Double faced for wear on both sides 

Fringed 

Size: L 75.98 x W 11.8 in

 

Style: khm10038-302

Color: Stadium

Material: 100% Wool",125,city,0,https://kith.com/collections/kith/products/khm10038-302,https://kith.com/cdn/shop/files/KHM10038-302-FRONT_1296x.jpg?v=1698269834
40,2023KIT40,2023,KITH,Kith 101 Nelson Collared Pullover,tops,"The 101 Knit Nelson Collared Pullover is crafted of viscose-blended yarn, and constructed in a custom jacquard stripe pattern. It has ribbing at the collar, sleeve cuffs, and hem.",185,city,0,https://kith.com/collections/kith/products/khm031556-5010,https://kith.com/cdn/shop/files/KHM031556-5010-FRONT_1296x.jpg?v=1698272324
41,2023KIT41,2023,KITH,Kith Wrinkle Nylon Fowler Short,shorts,"The Wrinkle Nylon Fowler Short is crafted of classic Kith wrinkle nylon fabric and is lined with mesh, featuring an elasticated, drawcord-adjustable waistband. It is finished with Kith-branded hardware, and secure pockets at the front and back.",135,surf,0,https://kith.com/collections/kith/products/khm060395-210,https://kith.com/cdn/shop/files/KHM060395-210-FRONT_1296x.jpg?v=1692741376
42,2023KIT42,2023,KITH,Ronnie Fieg for Clarks Breacon,shoes,"Breacon silhouette

Nubuck upper

Fieg branded tongue

Debossed co-branded logo on side panel

Leather sock liner heel patch with debossed Fieg branding

Stitch details

Heel pulls 

Co-branded nubuck fobs

Cotton laces

Genuine crepe outsole

 

Style: ck26167323

Color: Olive Nubuck

Material: Nubuck",230,city,0,https://kith.com/collections/kith/products/ck26167323,https://kith.com/cdn/shop/products/CK26167323ClarksRFBreaconOliveBubuck_14842_1296x.jpg?v=1662650342
43,2023KIT43,2023,KITH,Kith Montague Reversible Jacket,tops,"The Montauge Reversible Jacket is crafted of twill nylon fabric, featuring a fully reversible design, allowing for either a grey or black composition. It has a lightly filled interior, on-seam pockets, a hidden magnet closure at the front, and is complete with tailored detailing.",295,city,0,https://kith.com/collections/kith/products/khm010333-001,https://kith.com/cdn/shop/files/KHM010333-001-FRONT_1296x.jpg?v=1692813518
44,2023Mar44,2023,Market,Destination T-Shirt,tops,"Some rocks n doodles. pretty sick tbh 
100% Cotton
220 GSM, Custom Mid-Weight Shirt 
Screen Printed Graphic",45,city,0,https://marketstudios.com/products/destination-t-shirt,https://marketstudios.com/cdn/shop/files/399001571_DESTINATIONT-SHIRT_ECRU_01.png
45,2023Mar45,2023,Market,TRIPLE STITCH PULLOVER HOODIE,tops,"A super comfy, super cozy custom hoodie with contrast stitching and embroidered art that you'll be living in this season. 
100% Cotton
500 GSM, Custom Heavy-Weight Hoodie With Contrast Stitch Details 
Embroidered Text ",120,city,0,https://marketstudios.com/products/triple-stitch-pullover-hoodie,https://marketstudios.com/cdn/shop/files/397000507_TRIPLESTITCHPULLOVERHOODIE_SAGE_01.png
46,2023Mar46,2023,Market,EVERYTHING'S FINE T-SHIRT,tops,"100% Cotton
Print over pocket
220 GSM , Custom Mid-Weight Shirt 
Screen Printed Graphic Tee",45,city,0,https://marketstudios.com/products/everythings-fine-t-shirt,https://marketstudios.com/cdn/shop/files/399001478_EVERYTHING_SFINET-SHIRT_WASHEDBLACK_01.png
47,2023Mar47,2023,Market,INTERNET FRIENDS T-SHIRT,tops,"IRL friends are overrated tbh 
100% Cotton
220 GSM , Custom Mid-Weight Shirt 
Screen Printed Graphic Tee",45,city,0,https://marketstudios.com/products/internet-friends-t-shirt,https://marketstudios.com/cdn/shop/files/399001481INTERNETFRIENDST-SHIRTWHITE01.png?v=1682636904&width=493
48,2023Mar48,2023,Market,SPORTSMAN BEAR T-SHIRT,tops,"Gone fishin' brb 
Both Models Are 5'10 Wearing A Medium
100% Cotton
220 GSM , Custom Mid-Weight Shirt 
Screen Printed Graphic Tee",45,surf,0,https://marketstudios.com/products/sportsman-bear-t-shirt,https://marketstudios.com/cdn/shop/files/399001469SPORTSMANBEART-SHIRTWHTIE1.png?v=1683217110&width=493
49,2023MAR49,2023,MARNI,WHITE BIO COTTON T-SHIRT WITH POLKA-DOT LOGO,tops,Short-sleeved T-shirt made from bio cotton jersey. Embellished with a polka-dot Marni logo on the chest. Contrast crew neck.,450,city,0,https://www.marni.com/en-us/t-shirts-HUMU0198PNUSCV77PDW01.html,https://www.marni.com/on/demandware.static/-/Sites-marni-master-catalog/default/dwb57452ac/images/large/HUMU0198PN_USCV77_PDW01_F.jpg
50,2023MAR50,2023,MARNI,BROWN VIRGIN WOOL CARDIGAN WITH NIBBLED HEM,tops,Loose-fit cardigan knitted from virgin Shetland wool. Styled with distressing along the edges and a contrasting weave on the front yoke. Finished with hand-embroidered Marni lettering.,1475,city,0,https://www.marni.com/en-us/pullovers-CDMG0111A0UFW31000Y56.html,https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwe2f627c0/images/large/CDMG0111A0_UFW310_00Y56_F.jpg?sw=837&sh=1116
51,2023Col51,2023,Collegium,Pillar Destroyer Low,shoes,"The Pillar Destroyer Low is Collegium's signature low-top silhouette, handmade in Italy and crafted with unprecedented materialization. Includes dust bag and extra laces. ",225,surf,0,https://ourcollegium.com/collections/all/products/pillar-destroyer-low-forest-suede,https://ourcollegium.com/cdn/shop/products/forestside_resize.jpg?v=1623423922&width=1280
52,2023Col52,2023,Collegium,Pillar Trail,shoes,The Pillar Trail is Collegium's hybrid interpretation of a footwear creation made for every terrain with versatility in mind. This silhouette boasts design features durable enough for your light trail excursions while maintaining the comfortability fit for everyday ventures.,250,surf,0,https://ourcollegium.com/collections/low-tops/products/pillar-trail-panna,https://ourcollegium.com/cdn/shop/files/DSC00971_b33eb017-ff99-462d-a657-35ec2af79df2.jpg?v=1694220677&width=1280
53,2023Joh53,2023,John Elliott,REVERSED CROPPED TEE,tops,"Boxy, cropped fit tee with dropped shoulders. Designed with recycled cotton. Ribbed neck. Reversed inside-out stitch details throughout. Washed finish for a vintage look and feel. Made in Los Angeles.",138,surf,0,https://www.johnelliott.com/products/reversed-cropped-tee-washed-army,https://www.johnelliott.com/cdn/shop/products/230226_REVERSEDCROPPEDTEE_WASHEDARMY_FLAT_1424x.jpg?v=1677282746
54,2023Joh54,2023,John Elliott,DAKOTA KNIT OVERSIZED CREW,tops,"Oversized crewneck sweater in chunky merino wool. Dropped shoulder design. Two concealed welt pockets at the waist. Ribbed collar and cuffs.

Featuring chunky 100% merino wool construction with a half cardigan stitch, this sweater is knitted on a rare five gauge machine that mimics a hand loom, for substantially weighted garments. Due to the heavy-weight make, it can function as a top layer in the cold.",498,city,0,https://www.johnelliott.com/products/dakota-knit-oversized-crew-black,https://www.johnelliott.com/cdn/shop/files/DAKOTA_KNIT_OVERSIZED_CREW_BLACK_FLAT_1424x.jpg?v=1695689052
55,2023Joh55,2023,John Elliott,WOOL MOHAIR CARDIGAN,tops,"Cardigan sweater in a relaxed, drop shoulder fit. Features a button closure, rib knit shawl, cuffs, and hem. This garment is knit with a soft fisherman-rib wool and mohair blend. Its distinctive shaggy surface has been heavily brushed to reveal character underneath. Due to the special treatment of this knit, each piece is completely unique, with slight variance in finish.",498,surf,0,https://www.johnelliott.com/products/wool-mohair-cardigan-camel,https://www.johnelliott.com/cdn/shop/files/WOOL_MOHAIR_CARDIGAN_CAMEL_FLAT_1424x.jpg?v=1693603238
56,2023Joh56,2023,John Elliott,FOLSOM CROPPED TEE,tops,"Slightly cropped tee with a boxy, vintage inspired fit. Designed with custom knit cotton. Ribbed neck. Wash finish with light distressing at the collar and hems. Made in Los Angeles.

The Folsom Group is based off a vintage find that's been washed and worn for many years. Part of our brand's ethos is to develop products with intention and character. This garment is created with that mindset - From the way the fabric is knit, to washed, to the hand feel, mixed with distressing. Due to the special treatment on this tee, each piece is completely unique, with slight variance in finish.",158,surf,0,https://www.johnelliott.com/products/folsom-cropped-tee-vintage-dusty-blue,https://www.johnelliott.com/cdn/shop/products/230326_FOLSOMCROPPEDTEE_VINTAGEDUSTYBLUE_FLAT_1424x.jpg?v=1680904340
57,2023Joh57,2023,John Elliott,HAZE LOW SUEDE,shoes,"Low top sneaker in suede. Suede upper with contrast toe panel. Calf leather lining at the tongue and heel. Stitched sole construction. White eyelets. Branded green insole. Made by hand in Italy.

We approached footwear as we do any category - by solving our own problems. Brand codes, that we’ve crafted over the last nine years, are embedded in the design language, like layering and transparency. The entire range is made in Northern Italy, near Florence. We use beautiful materials that will last.",198,surf,0,https://www.johnelliott.com/products/haze-low-suede-moon-grey,https://www.johnelliott.com/cdn/shop/products/220107_HAZE_LOW_SUEDE_GREY_06_1424x.jpg?v=1641522053
58,2023Joh58,2023,John Elliott,VINTAGE VARSITY SHORTS,shorts,"Hoops-inspired mesh shorts in our new cropped and tailored fit. Two pocket styling with a ribbed drawstring waist and double knit striped trim with vented cuffs. Fully lined.

These shorts are inspired by players who defined the era of basketball from the 80's - early 90's. They reference vintage Americana - A stylistic way of athletic dressing with cropped shorts and closer to the body uniforms.",228,city,0,https://www.johnelliott.com/products/vintage-varsity-shorts-thistle,https://www.johnelliott.com/cdn/shop/products/VINTAGE_VARSITY_SHORTS_SALT_X_THISTLE_04_1424x.jpg?v=1675730760
